Tweet,Sentiment
Huffington post is anti-President propaganda machine with 0 credibility! SICKENING! https://t.co/zrTmaXeeyx https://t.co/miXQoBmJll,neutral
"More of Trump's ""great people"".  Fuck off, Donald. https://t.co/lfUDbk0Wvk",neutral
  FOR SALE  -  BUY #American #Flag #USA -   https://t.co/i3Fr62LL7e   - #USA_Flag_4U #Shop_8_9 #MAGA https://t.co/IvfMv2KWQr,neutral
@realDonaldTrump @CNN @nbc Just imagine. a teacher armed with a concealed handgun vs. a person with a loaded semi-a https://t.co/V2w1kSUfP3,neutral
